X,Y,fid,Route ID,Station Nu,Latitude,Longitude,km,Municipali,Year,Direction,Directio_1,AADT,icon_url
-65.9658,18.1936,2914,PR-181,C00018103460,18.1936,-65.9658,"34.8",San Lorenzo,2021,To PR-931,To PR-9931,"8,623",./0.png
-65.9655,18.2342,2915,PR-181,A018100387,18.2342,-65.9655,"40.39",Gurabo,2019,To PR-9933,To PR-929,"2,829",./0.png
-65.965,18.1946,2916,PR-181,C00018103485,18.1946,-65.965,"34.95",San Lorenzo,2021,To PR-931,To PR-9931,"8,472",./0.png
-65.965,18.3818,2917,PR-3 EB 10.0 OFF,DPR3EB10.0OFF,18.3818,-65.965,"10.1",Carolina,2022,To PR-887,To PR-3,"974",./0.png
-65.9648,18.1839,2918,PR-181,C00018103270,18.1839,-65.9648,"33",San Lorenzo,2021,To PR-980,To PR-183,"8,866",./0.png
-65.9647,18.2502,2919,PR-30 WB  8.5 ON,DPR30WB8.5ON,18.2502,-65.9647,"8.8",Gurabo,2022,To PR-30,To PR-189,"4,798",./0.png
-65.9644,17.9759,2920,PR-3,C00000311670,17.9759,-65.9644,"117.5",Patillas,2021,To PR-7758,To PR-758,"6,775",./0.png
-65.9643,18.1911,2921,PR-181,C00018103360,18.1911,-65.9643,"34.4",San Lorenzo,2021,To PR-980,To PR-9931,"9,175",./0.png
-65.9643,18.25,2922,PR-30 EB 8.5 OFF,DPR30EB8.5OFF,18.25,-65.9643,"8.5",Gurabo,2022,To PR-9030,To PR-30,"4,131",./0.png
-65.9641,17.9893,2923,PR-7755,C00775500000,17.9893,-65.9641,"0.6",Patillas,2021,To End of Road,To PR-758,"252",./0.png
-65.9635,18.3807,2924,PR-887 WB ON,DPR887WBON,18.3807,-65.9635,"10.4",Carolina,2022,To PR-887,To PR-3,"327",./0.png
-65.9629,18.0817,2925,PR-182,C00018201190,18.0817,-65.9629,"12.6",Yabucoa,2021,To PR-920,To PR-181,"1,413",./0.png
-65.9625,18.2117,2926,PR-181,C00018103510,18.2117,-65.9625,"36.95",San Lorenzo,2021,To PR-931,To PR-9931,"6,414",./0.png
-65.9624,18.2491,2927,PR-30 EB 8.5 ON,DPR30EB8.5ON,18.2491,-65.9624,"0.1",Gurabo,2022,To PR-30,To PR-9030,"1,298",./0.png
-65.9623,18.3798,2928,PR-887 EB TO PR-3 EB,DPR887EBTOPR3EB,18.3798,-65.9623,"3.8",Carolina,2022,To PR-3,To PR-887,"6,986",./0.png
-65.9619,18.1834,2929,PR-183,C00018301016,18.1834,-65.9619,"11.1",San Lorenzo,2021,To PR-916,To PR-181,"20,837",./0.png
-65.9619,18.2504,2930,PR-30 WB  8.5 ON SLIP,DPR30WB8.5ONSLIP,18.2504,-65.9619,"8.8",Gurabo,2022,To PR-30,To PR-189,"818",./0.png
